"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.4 out of 5 stars","Verified Purchase","Geminian","I have used McAfee for some years now... After trying various other brands, this for me is by far the simplest to use... Not too many interruptions like some do... Prompts etc... Just install and away you go.  Always remember to uninstall any existing virus software to save midday stopping advising you to do Just that.Although I have used this for years, this is the first time of buying via Amazon and after comparing prices elsewhere, the prices are very much the same (other then directly from company which is way much higher!).  If the pricing stays competitive, I will certainly buy next time.The software itself is do easy to install... From buying to installing it is a matter of a few clicks on the computer... No waiting around for the post to arrive or an email with an attachment etc... Straightforward from the off.I have never had any issues with viruses etc whilst using McAfee and use my computer worry free.Definitely recommend and a great, but realistic price point too!","Reviewed in the United Kingdom on 6 June 2023"
"2","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Asanco","This security product seems very good especially the price. It is affordable and gives total protection of 5 devices, its now covering my 2 mobile phones and a laptop as well as my wife's mobile phones.It guards devices against all forms of threats. It is recommended especially in these times we're facing cyber security issues.","Reviewed in the United Kingdom on 2 February 2024"
"3","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Nik S","The software is one of those 'install and forget' progs. Easy to navigate the menu. However, it has one quite annoying feature I have to put up with, every time when you use VPN it turns your own default searching engine (Google, in my case) into MA's own 'safety search' sponsored by Yahoo. You can manually switch it off in the browser settings, but doing it every time you use VPN ( and I use it frequently) is a pain in the neck. Apart from that it's a good safe piece of software.","Reviewed in the United Kingdom on 4 November 2023"
"4","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","JSS","Great price over BitDfndr renewal, which I had been using for many years. No complaints after 2 months of running in on multiple machines.  BD had more features such as PC Optimisation,  which are paid add on for McAfee. However, so far never had AV hogging 100% cpu, which was rather common in BD. This certainly is a better /smarter AV imo.This version of McAfee also has unlimited VPN as standard as opposed to megerly 200mb daily limit on BD per device.Overall, excellent","Reviewed in the United Kingdom on 12 February 2024"
"5","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Hammad Hussain","Good AV, easy to use even if you have pre installed you can just enter the cpde to renew the subscription","Reviewed in the United Kingdom on 19 February 2024"
"6","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Slaz","1 - Bought the product - code provided informed me I had to contact Macafee2- Macafee contacted me and said this product no longer exists and attempted to sell me a more comprehensive product.3 - Result - product does NOT work and I am £12.99 put of pocket.Do Not sell products that are no longer valid !!!!!!","Reviewed in the United Kingdom on 29 October 2023"
"7","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Lindy phone","The McAfee Protection Plan is value for money, however I did have problems installing the plan, I had to ring McAfee to make sure that it was in installed.","Reviewed in the United Kingdom on 23 January 2024"
"8","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Paul Molloy","Very easy to install.","Reviewed in the United Kingdom on 27 February 2024"
"9","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","Jeanette McCathie","I have happily used McAfee cover for several years..auto renewal was going to cost me £110....no question as to buy this cover & save nearly £100.","Reviewed in the United Kingdom on 28 January 2024"
"10","McAfee Total Protection 2024 Amazon Exclusive, 10 Devices | Antivirus, VPN, Parental Controls, Password Manager, Mobile Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","Toure","Very nice","Reviewed in the United Kingdom on 1 March 2024"
