"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"17","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Inspecta Gadget","Tastes lovely, drank it in 3 sitting so close to 230ml a go, which is not much considering 9 shots in total over like a 4/5 hour period with coke, felt more drunk than I have ever felt in my life I actually thought I had been poisoned and was going to die I'm guessing I had an allergic reaction to one of the ingredients as i have drank normal Kraken for years and never felt bad happened each time the same, struggling to stand/walk felt like I was 18 again and couldn't handle my alcohol, was very unsettling.","Reviewed in the United Kingdom on 10 January 2024"
"18","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Mr. E. Ducreux","This was the first time ordering alcohol online.  I was a bit sceptical as was half expecting it smashed.  However, it was very well packaged and would have been hard to smash.Bought as a gift for my brother, who loves this drink.  Not my type of tipple though.","Reviewed in the United Kingdom on 9 January 2024"
"19","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","stephen","I tried Kracken at a Beer Festival a few years ago and said I’d buy it, but fast forward to the end of 2023 to early 2024 I’ve finally got round to buying this and the Black Cherry one.I can honestly say they both pack a punch.This variety of Kracken is best served over ice with either Vanilla or normal Coke, a shot in a glass of Irish Liquor over ice or even a teaspoon in a cuppa coffee.For me I have to say I’ve tried a few coffee based liquors, however this is my ultimate favourite.","Reviewed in the United Kingdom on 3 February 2024"
"20","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","4.0 out of 5 stars","Verified Purchase","Miss Jessica I Taylor","Now my favourite rum and only gets better when it is on offer :-)","Reviewed in the United Kingdom on 22 December 2023"
"21","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","4.8 out of 5 stars","Verified Purchase","Snowy","I am a big fan of a dark and stormy - a generous measure of Kraken into a fiery ginger beer, garnished with lime.  A litre bottle means more dark and stormies, so that's automatically a Good Thing.It is also regularly discounted, so can be a real bargain on here.  My favourite spiced rum in a decently sized bottle is always a five star review!","Reviewed in the United Kingdom on 27 February 2024"
"22","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Wide Mouthed Frog","I got this one at a great price in the sale.I like Kraken Rum, like Vanilla and Black Cherry so it seemed an ideal combination.  Happy to confirm that it really is, it's lovely.  Goes down smoothly on some ice.  Very tasty.","Reviewed in the United Kingdom on 2 December 2023"
"23","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","3.0 out of 5 stars","Verified Purchase","Snowy","Fantastic alternative rum to some more well known brands, bit I am told it is fantastic and quite unique taste, but very well worth trying","Reviewed in the United Kingdom on 27 February 2024"
"24","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Kevin Trebell","Spiced and Tasty.Very nice bootle.Very rich tasty","Reviewed in the United Kingdom on 15 December 2023"
"25","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","mr a j h symons","I like a quality rum even though I'm not a frequent drinker - more of a 'tippler' if the word exists and my previous purchase of Woods rum was I thought, my favourite but this is a different flavour altogether and even more palatable. I'd say it's now become my new favourite, particularly as it's a litre bottle. and was at a good price when I bought it. It's a pity the price increased by almost £10 a few days after as I'd have bought another for the future but glad I got a bargain..","Reviewed in the United Kingdom on 12 February 2024"
"26","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Auksė Zav","Very smooth rum, and the combination of black cheery and vanilla gives it marzipan-like aftertaste. I was not sure initially but this is growing on me and works extremely well with fresh mango&apple juice and soda water (or smoothies - I do love me some Rum+Smoothie combo)","Reviewed in the United Kingdom on 8 February 2024"
"27","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Inspecta Gadget","Tastes lovely, drank it in 3 sitting so close to 230ml a go, which is not much considering 9 shots in total over like a 4/5 hour period with coke, felt more drunk than I have ever felt in my life I actually thought I had been poisoned and was going to die I'm guessing I had an allergic reaction to one of the ingredients as i have drank normal Kraken for years and never felt bad happened each time the same, struggling to stand/walk felt like I was 18 again and couldn't handle my alcohol, was very unsettling.","Reviewed in the United Kingdom on 10 January 2024"
"28","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Mr. E. Ducreux","This was the first time ordering alcohol online.  I was a bit sceptical as was half expecting it smashed.  However, it was very well packaged and would have been hard to smash.Bought as a gift for my brother, who loves this drink.  Not my type of tipple though.","Reviewed in the United Kingdom on 9 January 2024"
"29","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","stephen","I tried Kracken at a Beer Festival a few years ago and said I’d buy it, but fast forward to the end of 2023 to early 2024 I’ve finally got round to buying this and the Black Cherry one.I can honestly say they both pack a punch.This variety of Kracken is best served over ice with either Vanilla or normal Coke, a shot in a glass of Irish Liquor over ice or even a teaspoon in a cuppa coffee.For me I have to say I’ve tried a few coffee based liquors, however this is my ultimate favourite.","Reviewed in the United Kingdom on 3 February 2024"
"30","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","4.0 out of 5 stars","Verified Purchase","Miss Jessica I Taylor","Now my favourite rum and only gets better when it is on offer :-)","Reviewed in the United Kingdom on 22 December 2023"
"31","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","4.8 out of 5 stars","Verified Purchase","Snowy","I am a big fan of a dark and stormy - a generous measure of Kraken into a fiery ginger beer, garnished with lime.  A litre bottle means more dark and stormies, so that's automatically a Good Thing.It is also regularly discounted, so can be a real bargain on here.  My favourite spiced rum in a decently sized bottle is always a five star review!","Reviewed in the United Kingdom on 27 February 2024"
"32","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Wide Mouthed Frog","I got this one at a great price in the sale.I like Kraken Rum, like Vanilla and Black Cherry so it seemed an ideal combination.  Happy to confirm that it really is, it's lovely.  Goes down smoothly on some ice.  Very tasty.","Reviewed in the United Kingdom on 2 December 2023"
"33","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","3.0 out of 5 stars","Verified Purchase","Snowy","Fantastic alternative rum to some more well known brands, bit I am told it is fantastic and quite unique taste, but very well worth trying","Reviewed in the United Kingdom on 27 February 2024"
"34","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Kevin Trebell","Spiced and Tasty.Very nice bootle.Very rich tasty","Reviewed in the United Kingdom on 15 December 2023"
"35","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","mr a j h symons","I like a quality rum even though I'm not a frequent drinker - more of a 'tippler' if the word exists and my previous purchase of Woods rum was I thought, my favourite but this is a different flavour altogether and even more palatable. I'd say it's now become my new favourite, particularly as it's a litre bottle. and was at a good price when I bought it. It's a pity the price increased by almost £10 a few days after as I'd have bought another for the future but glad I got a bargain..","Reviewed in the United Kingdom on 12 February 2024"
"36","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Auksė Zav","Very smooth rum, and the combination of black cheery and vanilla gives it marzipan-like aftertaste. I was not sure initially but this is growing on me and works extremely well with fresh mango&apple juice and soda water (or smoothies - I do love me some Rum+Smoothie combo)","Reviewed in the United Kingdom on 8 February 2024"
"37","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Inspecta Gadget","Tastes lovely, drank it in 3 sitting so close to 230ml a go, which is not much considering 9 shots in total over like a 4/5 hour period with coke, felt more drunk than I have ever felt in my life I actually thought I had been poisoned and was going to die I'm guessing I had an allergic reaction to one of the ingredients as i have drank normal Kraken for years and never felt bad happened each time the same, struggling to stand/walk felt like I was 18 again and couldn't handle my alcohol, was very unsettling.","Reviewed in the United Kingdom on 10 January 2024"
"38","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Mr. E. Ducreux","This was the first time ordering alcohol online.  I was a bit sceptical as was half expecting it smashed.  However, it was very well packaged and would have been hard to smash.Bought as a gift for my brother, who loves this drink.  Not my type of tipple though.","Reviewed in the United Kingdom on 9 January 2024"
"39","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","stephen","I tried Kracken at a Beer Festival a few years ago and said I’d buy it, but fast forward to the end of 2023 to early 2024 I’ve finally got round to buying this and the Black Cherry one.I can honestly say they both pack a punch.This variety of Kracken is best served over ice with either Vanilla or normal Coke, a shot in a glass of Irish Liquor over ice or even a teaspoon in a cuppa coffee.For me I have to say I’ve tried a few coffee based liquors, however this is my ultimate favourite.","Reviewed in the United Kingdom on 3 February 2024"
"40","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","4.0 out of 5 stars","Verified Purchase","Miss Jessica I Taylor","Now my favourite rum and only gets better when it is on offer :-)","Reviewed in the United Kingdom on 22 December 2023"
"41","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","4.8 out of 5 stars","Verified Purchase","Snowy","I am a big fan of a dark and stormy - a generous measure of Kraken into a fiery ginger beer, garnished with lime.  A litre bottle means more dark and stormies, so that's automatically a Good Thing.It is also regularly discounted, so can be a real bargain on here.  My favourite spiced rum in a decently sized bottle is always a five star review!","Reviewed in the United Kingdom on 27 February 2024"
"42","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Wide Mouthed Frog","I got this one at a great price in the sale.I like Kraken Rum, like Vanilla and Black Cherry so it seemed an ideal combination.  Happy to confirm that it really is, it's lovely.  Goes down smoothly on some ice.  Very tasty.","Reviewed in the United Kingdom on 2 December 2023"
"43","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","3.0 out of 5 stars","Verified Purchase","Snowy","Fantastic alternative rum to some more well known brands, bit I am told it is fantastic and quite unique taste, but very well worth trying","Reviewed in the United Kingdom on 27 February 2024"
"44","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Kevin Trebell","Spiced and Tasty.Very nice bootle.Very rich tasty","Reviewed in the United Kingdom on 15 December 2023"
"45","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","mr a j h symons","I like a quality rum even though I'm not a frequent drinker - more of a 'tippler' if the word exists and my previous purchase of Woods rum was I thought, my favourite but this is a different flavour altogether and even more palatable. I'd say it's now become my new favourite, particularly as it's a litre bottle. and was at a good price when I bought it. It's a pity the price increased by almost £10 a few days after as I'd have bought another for the future but glad I got a bargain..","Reviewed in the United Kingdom on 12 February 2024"
"46","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Auksė Zav","Very smooth rum, and the combination of black cheery and vanilla gives it marzipan-like aftertaste. I was not sure initially but this is growing on me and works extremely well with fresh mango&apple juice and soda water (or smoothies - I do love me some Rum+Smoothie combo)","Reviewed in the United Kingdom on 8 February 2024"
"47","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Inspecta Gadget","Tastes lovely, drank it in 3 sitting so close to 230ml a go, which is not much considering 9 shots in total over like a 4/5 hour period with coke, felt more drunk than I have ever felt in my life I actually thought I had been poisoned and was going to die I'm guessing I had an allergic reaction to one of the ingredients as i have drank normal Kraken for years and never felt bad happened each time the same, struggling to stand/walk felt like I was 18 again and couldn't handle my alcohol, was very unsettling.","Reviewed in the United Kingdom on 10 January 2024"
"48","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","Mr. E. Ducreux","This was the first time ordering alcohol online.  I was a bit sceptical as was half expecting it smashed.  However, it was very well packaged and would have been hard to smash.Bought as a gift for my brother, who loves this drink.  Not my type of tipple though.","Reviewed in the United Kingdom on 9 January 2024"
"49","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","5.0 out of 5 stars","Verified Purchase","stephen","I tried Kracken at a Beer Festival a few years ago and said I’d buy it, but fast forward to the end of 2023 to early 2024 I’ve finally got round to buying this and the Black Cherry one.I can honestly say they both pack a punch.This variety of Kracken is best served over ice with either Vanilla or normal Coke, a shot in a glass of Irish Liquor over ice or even a teaspoon in a cuppa coffee.For me I have to say I’ve tried a few coffee based liquors, however this is my ultimate favourite.","Reviewed in the United Kingdom on 3 February 2024"
"50","Kraken Black Cherry and Madagascan Vanilla Black Spiced Rum 70cl","4.0 out of 5 stars","Verified Purchase","Miss Jessica I Taylor","Now my favourite rum and only gets better when it is on offer :-)","Reviewed in the United Kingdom on 22 December 2023"
