"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"11","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.7 out of 5 stars","Verified Purchase","nette70","Heard loads about uno but never played it.Easy to play , lots of family fun","Reviewed in the United Kingdom on 19 February 2024"
"12","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","As described would like an option to choose the colour of gel balls you get though","Having recently introduced the classic UNO card game by Mattel to my 6-year-old, I've been reminded of the sheer joy and excitement that this game brings to the table. Right from the vibrant colours to the simple-to-grasp numbers, every aspect of this game has been designed with the player in mind.1. **Engaging for All Ages:** Although we got this for our young one, it's not just a hit with him. Family members of all ages, from grandparents to uncles and aunts, have been drawn into the UNO vortex, making our family gatherings a lot more lively and competitive!2. **Educational Yet Fun:** Beyond the laughs and the playful banter, it's been a delight to see my 6-year-old hone his colour and number matching skills. What a fantastic way to subtly integrate learning with fun!3. **Quality of Cards:** The card quality is top-notch, durable enough to withstand the occasional spill and rigorous play that's inevitable with children around.4. **Travel-Friendly:** Its compact size makes it easy to carry around, ensuring we have a trusty game on hand for any unplanned moments or while travelling.One minor point of advice for those playing with younger kids: make sure you explain the action cards (Skip, Reverse, etc.) a couple of times, as they might be a tad confusing initially. But once they get the hang of it, there's no stopping the UNO fun!In conclusion, Mattel's UNO is not just a card game; it's a bridge across generations, ensuring countless hours of family bonding and laughter. Highly recommended for everyone, and especially if you have youngsters in the house!","Reviewed in the United Kingdom on 14 February 2024"
"13","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","3.0 out of 5 stars","Verified Purchase","nette70","My 6 year old got this for Christmas and we love playing it as a family.  It's really easy to learn and fun for all ages.","Reviewed in the United Kingdom on 19 February 2024"
"14","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Harry2023","Perfect game for kids very enjoyable","Reviewed in the United Kingdom on 23 September 2023"
"15","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Sean","I like this game. I brought this to help with my mum's memory. But we all love playing it. Its fun and helps my mum.","Reviewed in the United Kingdom on 9 February 2024"
"16","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","This game  is extremely easy to learn how to play. I played this game in the Pub with friends, as we have our lunch there and after play games. This game is really great fun to play.","Reviewed in the United Kingdom on 8 December 2023"
"17","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.0 out of 5 stars","Verified Purchase","Kathy Brooke","Great product and quick delivery. Great service overall. Thank you","Reviewed in the United Kingdom on 26 January 2024"
"18","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","fun game for the family","Reviewed in the United Kingdom on 28 January 2024"
"19","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Abbiewangs","The packaging is perfect to transport on the go. We used it on holiday and carried it around all the time. UNO will never go out of fashion!","Reviewed in the United Kingdom on 30 January 2024"
"20","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Kelly","A great game to spend time with family or friends.","Reviewed in the United Kingdom on 24 February 2024"
"21","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.7 out of 5 stars","Verified Purchase","nette70","Heard loads about uno but never played it.Easy to play , lots of family fun","Reviewed in the United Kingdom on 19 February 2024"
"22","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","As described would like an option to choose the colour of gel balls you get though","Having recently introduced the classic UNO card game by Mattel to my 6-year-old, I've been reminded of the sheer joy and excitement that this game brings to the table. Right from the vibrant colours to the simple-to-grasp numbers, every aspect of this game has been designed with the player in mind.1. **Engaging for All Ages:** Although we got this for our young one, it's not just a hit with him. Family members of all ages, from grandparents to uncles and aunts, have been drawn into the UNO vortex, making our family gatherings a lot more lively and competitive!2. **Educational Yet Fun:** Beyond the laughs and the playful banter, it's been a delight to see my 6-year-old hone his colour and number matching skills. What a fantastic way to subtly integrate learning with fun!3. **Quality of Cards:** The card quality is top-notch, durable enough to withstand the occasional spill and rigorous play that's inevitable with children around.4. **Travel-Friendly:** Its compact size makes it easy to carry around, ensuring we have a trusty game on hand for any unplanned moments or while travelling.One minor point of advice for those playing with younger kids: make sure you explain the action cards (Skip, Reverse, etc.) a couple of times, as they might be a tad confusing initially. But once they get the hang of it, there's no stopping the UNO fun!In conclusion, Mattel's UNO is not just a card game; it's a bridge across generations, ensuring countless hours of family bonding and laughter. Highly recommended for everyone, and especially if you have youngsters in the house!","Reviewed in the United Kingdom on 14 February 2024"
"23","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","3.0 out of 5 stars","Verified Purchase","nette70","My 6 year old got this for Christmas and we love playing it as a family.  It's really easy to learn and fun for all ages.","Reviewed in the United Kingdom on 19 February 2024"
"24","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Harry2023","Perfect game for kids very enjoyable","Reviewed in the United Kingdom on 23 September 2023"
"25","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Sean","I like this game. I brought this to help with my mum's memory. But we all love playing it. Its fun and helps my mum.","Reviewed in the United Kingdom on 9 February 2024"
"26","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","This game  is extremely easy to learn how to play. I played this game in the Pub with friends, as we have our lunch there and after play games. This game is really great fun to play.","Reviewed in the United Kingdom on 8 December 2023"
"27","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.0 out of 5 stars","Verified Purchase","Kathy Brooke","Great product and quick delivery. Great service overall. Thank you","Reviewed in the United Kingdom on 26 January 2024"
"28","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","fun game for the family","Reviewed in the United Kingdom on 28 January 2024"
"29","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Abbiewangs","The packaging is perfect to transport on the go. We used it on holiday and carried it around all the time. UNO will never go out of fashion!","Reviewed in the United Kingdom on 30 January 2024"
"30","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Kelly","A great game to spend time with family or friends.","Reviewed in the United Kingdom on 24 February 2024"
"31","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.7 out of 5 stars","Verified Purchase","nette70","Heard loads about uno but never played it.Easy to play , lots of family fun","Reviewed in the United Kingdom on 19 February 2024"
"32","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","As described would like an option to choose the colour of gel balls you get though","Having recently introduced the classic UNO card game by Mattel to my 6-year-old, I've been reminded of the sheer joy and excitement that this game brings to the table. Right from the vibrant colours to the simple-to-grasp numbers, every aspect of this game has been designed with the player in mind.1. **Engaging for All Ages:** Although we got this for our young one, it's not just a hit with him. Family members of all ages, from grandparents to uncles and aunts, have been drawn into the UNO vortex, making our family gatherings a lot more lively and competitive!2. **Educational Yet Fun:** Beyond the laughs and the playful banter, it's been a delight to see my 6-year-old hone his colour and number matching skills. What a fantastic way to subtly integrate learning with fun!3. **Quality of Cards:** The card quality is top-notch, durable enough to withstand the occasional spill and rigorous play that's inevitable with children around.4. **Travel-Friendly:** Its compact size makes it easy to carry around, ensuring we have a trusty game on hand for any unplanned moments or while travelling.One minor point of advice for those playing with younger kids: make sure you explain the action cards (Skip, Reverse, etc.) a couple of times, as they might be a tad confusing initially. But once they get the hang of it, there's no stopping the UNO fun!In conclusion, Mattel's UNO is not just a card game; it's a bridge across generations, ensuring countless hours of family bonding and laughter. Highly recommended for everyone, and especially if you have youngsters in the house!","Reviewed in the United Kingdom on 14 February 2024"
"33","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","3.0 out of 5 stars","Verified Purchase","nette70","My 6 year old got this for Christmas and we love playing it as a family.  It's really easy to learn and fun for all ages.","Reviewed in the United Kingdom on 19 February 2024"
"34","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Harry2023","Perfect game for kids very enjoyable","Reviewed in the United Kingdom on 23 September 2023"
"35","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Sean","I like this game. I brought this to help with my mum's memory. But we all love playing it. Its fun and helps my mum.","Reviewed in the United Kingdom on 9 February 2024"
"36","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","This game  is extremely easy to learn how to play. I played this game in the Pub with friends, as we have our lunch there and after play games. This game is really great fun to play.","Reviewed in the United Kingdom on 8 December 2023"
"37","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.0 out of 5 stars","Verified Purchase","Kathy Brooke","Great product and quick delivery. Great service overall. Thank you","Reviewed in the United Kingdom on 26 January 2024"
"38","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","fun game for the family","Reviewed in the United Kingdom on 28 January 2024"
"39","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Abbiewangs","The packaging is perfect to transport on the go. We used it on holiday and carried it around all the time. UNO will never go out of fashion!","Reviewed in the United Kingdom on 30 January 2024"
"40","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Kelly","A great game to spend time with family or friends.","Reviewed in the United Kingdom on 24 February 2024"
"41","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.7 out of 5 stars","Verified Purchase","nette70","Heard loads about uno but never played it.Easy to play , lots of family fun","Reviewed in the United Kingdom on 19 February 2024"
"42","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","As described would like an option to choose the colour of gel balls you get though","Having recently introduced the classic UNO card game by Mattel to my 6-year-old, I've been reminded of the sheer joy and excitement that this game brings to the table. Right from the vibrant colours to the simple-to-grasp numbers, every aspect of this game has been designed with the player in mind.1. **Engaging for All Ages:** Although we got this for our young one, it's not just a hit with him. Family members of all ages, from grandparents to uncles and aunts, have been drawn into the UNO vortex, making our family gatherings a lot more lively and competitive!2. **Educational Yet Fun:** Beyond the laughs and the playful banter, it's been a delight to see my 6-year-old hone his colour and number matching skills. What a fantastic way to subtly integrate learning with fun!3. **Quality of Cards:** The card quality is top-notch, durable enough to withstand the occasional spill and rigorous play that's inevitable with children around.4. **Travel-Friendly:** Its compact size makes it easy to carry around, ensuring we have a trusty game on hand for any unplanned moments or while travelling.One minor point of advice for those playing with younger kids: make sure you explain the action cards (Skip, Reverse, etc.) a couple of times, as they might be a tad confusing initially. But once they get the hang of it, there's no stopping the UNO fun!In conclusion, Mattel's UNO is not just a card game; it's a bridge across generations, ensuring countless hours of family bonding and laughter. Highly recommended for everyone, and especially if you have youngsters in the house!","Reviewed in the United Kingdom on 14 February 2024"
"43","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","3.0 out of 5 stars","Verified Purchase","nette70","My 6 year old got this for Christmas and we love playing it as a family.  It's really easy to learn and fun for all ages.","Reviewed in the United Kingdom on 19 February 2024"
"44","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Harry2023","Perfect game for kids very enjoyable","Reviewed in the United Kingdom on 23 September 2023"
"45","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Sean","I like this game. I brought this to help with my mum's memory. But we all love playing it. Its fun and helps my mum.","Reviewed in the United Kingdom on 9 February 2024"
"46","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","This game  is extremely easy to learn how to play. I played this game in the Pub with friends, as we have our lunch there and after play games. This game is really great fun to play.","Reviewed in the United Kingdom on 8 December 2023"
"47","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","4.0 out of 5 stars","Verified Purchase","Kathy Brooke","Great product and quick delivery. Great service overall. Thank you","Reviewed in the United Kingdom on 26 January 2024"
"48","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Amazon Customer","fun game for the family","Reviewed in the United Kingdom on 28 January 2024"
"49","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Abbiewangs","The packaging is perfect to transport on the go. We used it on holiday and carried it around all the time. UNO will never go out of fashion!","Reviewed in the United Kingdom on 30 January 2024"
"50","Mattel Games UNO, Classic Card Game for Kids and Adults for Family Game Night, Use as a Travel Game or Engaging Gift for Kids, 2 to 10 Players, Ages 7 and Up, W2087","5.0 out of 5 stars","Verified Purchase","Kelly","A great game to spend time with family or friends.","Reviewed in the United Kingdom on 24 February 2024"
