"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"11","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","4.7 out of 5 stars","Verified Purchase","Amanda D","I have a giant of a 1 year old GSD, so you can imagine the size of his waste! These bags are large so there's plenty of much needed room inside and although I used to prefer bags with handles, these bags are just as easy to tie up and I actually prefer this type of bag now. I keep a roll with a small rubber band around them in mine. It saves space, my pockets are tidier and it's much easier to find a tissue in my coat pocket than it was with loose bags in them! If I'm out without a coat, I keep a half-roll in my 5th jeans pocket. They fit in there rather nicely!As well as being big (22 x 33 cm), these bags are strong! They don't tear easily and I've never poked a finger through these bags, very much unlike the more 'nappy bag' bags I used to use before! They are a big step up from those flimsy bags and although the cost is a little more I find I'm using less bags and I don't need to double bag them to stop or reduce smells escaping from bags in my garden dog bin either, even in the summer. They are definitely a more hygienic option. The dog bin used to smell bad in warm weather but these bags really do a good job of keeping the smell (therefore the bacteria) in the bag. I do sometimes get a whiff from the bags during hot sunny summer weather though.Does anyone wake up some mornings to find foxes have broken into your bin and strewn bags all over the garden? I do! I have a fox problem here, perhaps likely from a couple of my neighbours who keep chickens and ducks, but ""problem"" depends on your view on foxes, of course! For me, mine are garden pests but I like them otherwise. Point here is these bags have never split from being thrown around by foxes, although I'm sure they could get into them if they really wanted to. I'm still devising solutions to stop them getting into my bin!The rolls have 15 bags on each. The perforations are good and in line and this ensures they are easy to remove from the roll. I've not had even one bag wasted by tearing it when tearing one off the roll. I buy the 270 pack so they work out at around 4p each when buying the pack at full price (currently £10.99). For me, that's a cost of 84p per week.Note! They are certified 65% recycled plastic now and I'm keen to reduce my plastic waste so this is a big plus for me. I hope this company continues to be environmentally conscious because when companies provide more environmental products it helps consumers make better choices.Pros65% recycled plasticLarge and strongDo not tear easilyLeakproofEasy to tie upEasy to rip a bag off the rollSmells leak less in hot weather otherwise no noticeable smell at all.ConsMore expensive than other bags. Potentially, it's a bag we throw away, so how good do you need your poo bags to be?Costs - for my dog's use4p per bag at full price = costs me around 84p per week1 roll (of 15 bags) lasts approx 5 daysThe whole pack of 270 bags lasts 54 days or approx 2 months.","Reviewed in the United Kingdom on 17 May 2023"
"12","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","K. S. Catlow","I’ve had dogs all through my life and that’s a long while. I’ve used many a brand of Poo bag but the Earth Rated with a slight Lavender aroma are by far the best.They are of a good strong, thick quality. Plenty long enough to be able to tie in a knot and they don’t let any smell out.I’ve carried mine around a park before (full) and not noticed any pong.I love that you get a little sticker when you have 2 bags left on the roll, nothing worse than running out!They are fantastic value for money, I purchase mine on subscription so never run out. I wouldn’t buy anything else now.Definitely the best on the market.","Reviewed in the United Kingdom on 23 February 2024"
"13","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","3.0 out of 5 stars","Verified Purchase","Amanda D","Very happy with the product, excellent value for money and good size, scent and quality. We always go for this product as it's cheaper than anywhere else we've found for the quality.","Reviewed in the United Kingdom on 17 May 2023"
"14","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Tracy Beattie","As a dog owner in the UK, I've been using Earth Rated Dog Poo Bags for quite some time now, and I must say they have become an essential part of our daily walks. These bags serve their purpose perfectly, making it easy and hygienic to clean up after my furry friend.One of the things I really like about these bags is their durability. They are thick and sturdy, so I never have to worry about any unpleasant surprises or leaks. They hold up well even with larger messes, providing a reliable solution for dog waste disposal.Another great feature is the size of the bags. They are large enough to accommodate waste from even the biggest dogs, ensuring I never run out of space. Plus, the easy-to-tear perforations make it convenient to grab a bag and go, saving time during those urgent moments.However, one aspect I wish could be improved is the scent control. While the bags do a decent job of containing the odor, there are times when it's still noticeable. It would be great if the bags had stronger scent-blocking capabilities to ensure complete freshness.All in all, Earth Rated Dog Poo Bags have been a trustworthy and practical choice for me as a dog owner in the UK. They are durable, spacious, and make clean-up a breeze. Although the scent control could be enhanced, it doesn't overshadow the overall effectiveness of these bags. I highly recommend them to fellow dog owners seeking a reliable companion on their walks.","Reviewed in the United Kingdom on 23 December 2023"
"15","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Mrs Mackintosh","Really cannot recommend these highly enough. They are very large and being on a roll save so much time just pulling one as needed instead of scrabbling to extricate one from a pocket full of thin loose black bags. There is no unpleasant smell to them; they are strong, leak proof and, by not closing them completely, will easily accommodate further ‘deposits’ even from a very large dog. (Tip:  if you find the weather turns on a walk unused bags do make amazing waterproof and windproof gauntlets!)","Reviewed in the United Kingdom on 27 February 2024"
"16","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Peter Y","Nice and handy rolls of bags, I keep a roll in the car for when I take the dogs out. Nice size and scented bags.","Reviewed in the United Kingdom on 14 July 2023"
"17","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","4.0 out of 5 stars","Verified Purchase","M I Bubble","I bought thes on a recommendation. They are brilliant - just the right size. They are absolutely value for money and bio-degradable. Will use from now on","Reviewed in the United Kingdom on 4 February 2024"
"18","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Amy","Smell great and disguise the smell of dog pooh. Easy to use.","Reviewed in the United Kingdom on 24 February 2024"
"19","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Ian.S.","Nice sized rolls in a box and does the job but a couple of issues:1. Lavender is a nice smell but doesn’t seem to cover up the smell.2. Sometimes not easy to open with dry fingers.3. First bag ripped when removing sticker - see photo","Reviewed in the United Kingdom on 20 January 2024"
"20","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Mr N D Barthorpe","Great, sturdy bags. You don’t have to worry about the dreaded splitting bag as you grab a poo. The scent is not overpowering but does a good job of masking the pong.","Reviewed in the United Kingdom on 22 February 2024"
"21","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","4.7 out of 5 stars","Verified Purchase","Amanda D","I have a giant of a 1 year old GSD, so you can imagine the size of his waste! These bags are large so there's plenty of much needed room inside and although I used to prefer bags with handles, these bags are just as easy to tie up and I actually prefer this type of bag now. I keep a roll with a small rubber band around them in mine. It saves space, my pockets are tidier and it's much easier to find a tissue in my coat pocket than it was with loose bags in them! If I'm out without a coat, I keep a half-roll in my 5th jeans pocket. They fit in there rather nicely!As well as being big (22 x 33 cm), these bags are strong! They don't tear easily and I've never poked a finger through these bags, very much unlike the more 'nappy bag' bags I used to use before! They are a big step up from those flimsy bags and although the cost is a little more I find I'm using less bags and I don't need to double bag them to stop or reduce smells escaping from bags in my garden dog bin either, even in the summer. They are definitely a more hygienic option. The dog bin used to smell bad in warm weather but these bags really do a good job of keeping the smell (therefore the bacteria) in the bag. I do sometimes get a whiff from the bags during hot sunny summer weather though.Does anyone wake up some mornings to find foxes have broken into your bin and strewn bags all over the garden? I do! I have a fox problem here, perhaps likely from a couple of my neighbours who keep chickens and ducks, but ""problem"" depends on your view on foxes, of course! For me, mine are garden pests but I like them otherwise. Point here is these bags have never split from being thrown around by foxes, although I'm sure they could get into them if they really wanted to. I'm still devising solutions to stop them getting into my bin!The rolls have 15 bags on each. The perforations are good and in line and this ensures they are easy to remove from the roll. I've not had even one bag wasted by tearing it when tearing one off the roll. I buy the 270 pack so they work out at around 4p each when buying the pack at full price (currently £10.99). For me, that's a cost of 84p per week.Note! They are certified 65% recycled plastic now and I'm keen to reduce my plastic waste so this is a big plus for me. I hope this company continues to be environmentally conscious because when companies provide more environmental products it helps consumers make better choices.Pros65% recycled plasticLarge and strongDo not tear easilyLeakproofEasy to tie upEasy to rip a bag off the rollSmells leak less in hot weather otherwise no noticeable smell at all.ConsMore expensive than other bags. Potentially, it's a bag we throw away, so how good do you need your poo bags to be?Costs - for my dog's use4p per bag at full price = costs me around 84p per week1 roll (of 15 bags) lasts approx 5 daysThe whole pack of 270 bags lasts 54 days or approx 2 months.","Reviewed in the United Kingdom on 17 May 2023"
"22","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","K. S. Catlow","I’ve had dogs all through my life and that’s a long while. I’ve used many a brand of Poo bag but the Earth Rated with a slight Lavender aroma are by far the best.They are of a good strong, thick quality. Plenty long enough to be able to tie in a knot and they don’t let any smell out.I’ve carried mine around a park before (full) and not noticed any pong.I love that you get a little sticker when you have 2 bags left on the roll, nothing worse than running out!They are fantastic value for money, I purchase mine on subscription so never run out. I wouldn’t buy anything else now.Definitely the best on the market.","Reviewed in the United Kingdom on 23 February 2024"
"23","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","3.0 out of 5 stars","Verified Purchase","Amanda D","Very happy with the product, excellent value for money and good size, scent and quality. We always go for this product as it's cheaper than anywhere else we've found for the quality.","Reviewed in the United Kingdom on 17 May 2023"
"24","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Tracy Beattie","As a dog owner in the UK, I've been using Earth Rated Dog Poo Bags for quite some time now, and I must say they have become an essential part of our daily walks. These bags serve their purpose perfectly, making it easy and hygienic to clean up after my furry friend.One of the things I really like about these bags is their durability. They are thick and sturdy, so I never have to worry about any unpleasant surprises or leaks. They hold up well even with larger messes, providing a reliable solution for dog waste disposal.Another great feature is the size of the bags. They are large enough to accommodate waste from even the biggest dogs, ensuring I never run out of space. Plus, the easy-to-tear perforations make it convenient to grab a bag and go, saving time during those urgent moments.However, one aspect I wish could be improved is the scent control. While the bags do a decent job of containing the odor, there are times when it's still noticeable. It would be great if the bags had stronger scent-blocking capabilities to ensure complete freshness.All in all, Earth Rated Dog Poo Bags have been a trustworthy and practical choice for me as a dog owner in the UK. They are durable, spacious, and make clean-up a breeze. Although the scent control could be enhanced, it doesn't overshadow the overall effectiveness of these bags. I highly recommend them to fellow dog owners seeking a reliable companion on their walks.","Reviewed in the United Kingdom on 23 December 2023"
"25","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Mrs Mackintosh","Really cannot recommend these highly enough. They are very large and being on a roll save so much time just pulling one as needed instead of scrabbling to extricate one from a pocket full of thin loose black bags. There is no unpleasant smell to them; they are strong, leak proof and, by not closing them completely, will easily accommodate further ‘deposits’ even from a very large dog. (Tip:  if you find the weather turns on a walk unused bags do make amazing waterproof and windproof gauntlets!)","Reviewed in the United Kingdom on 27 February 2024"
"26","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Peter Y","Nice and handy rolls of bags, I keep a roll in the car for when I take the dogs out. Nice size and scented bags.","Reviewed in the United Kingdom on 14 July 2023"
"27","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","4.0 out of 5 stars","Verified Purchase","M I Bubble","I bought thes on a recommendation. They are brilliant - just the right size. They are absolutely value for money and bio-degradable. Will use from now on","Reviewed in the United Kingdom on 4 February 2024"
"28","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Amy","Smell great and disguise the smell of dog pooh. Easy to use.","Reviewed in the United Kingdom on 24 February 2024"
"29","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Ian.S.","Nice sized rolls in a box and does the job but a couple of issues:1. Lavender is a nice smell but doesn’t seem to cover up the smell.2. Sometimes not easy to open with dry fingers.3. First bag ripped when removing sticker - see photo","Reviewed in the United Kingdom on 20 January 2024"
"30","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Mr N D Barthorpe","Great, sturdy bags. You don’t have to worry about the dreaded splitting bag as you grab a poo. The scent is not overpowering but does a good job of masking the pong.","Reviewed in the United Kingdom on 22 February 2024"
"31","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","4.7 out of 5 stars","Verified Purchase","Amanda D","I have a giant of a 1 year old GSD, so you can imagine the size of his waste! These bags are large so there's plenty of much needed room inside and although I used to prefer bags with handles, these bags are just as easy to tie up and I actually prefer this type of bag now. I keep a roll with a small rubber band around them in mine. It saves space, my pockets are tidier and it's much easier to find a tissue in my coat pocket than it was with loose bags in them! If I'm out without a coat, I keep a half-roll in my 5th jeans pocket. They fit in there rather nicely!As well as being big (22 x 33 cm), these bags are strong! They don't tear easily and I've never poked a finger through these bags, very much unlike the more 'nappy bag' bags I used to use before! They are a big step up from those flimsy bags and although the cost is a little more I find I'm using less bags and I don't need to double bag them to stop or reduce smells escaping from bags in my garden dog bin either, even in the summer. They are definitely a more hygienic option. The dog bin used to smell bad in warm weather but these bags really do a good job of keeping the smell (therefore the bacteria) in the bag. I do sometimes get a whiff from the bags during hot sunny summer weather though.Does anyone wake up some mornings to find foxes have broken into your bin and strewn bags all over the garden? I do! I have a fox problem here, perhaps likely from a couple of my neighbours who keep chickens and ducks, but ""problem"" depends on your view on foxes, of course! For me, mine are garden pests but I like them otherwise. Point here is these bags have never split from being thrown around by foxes, although I'm sure they could get into them if they really wanted to. I'm still devising solutions to stop them getting into my bin!The rolls have 15 bags on each. The perforations are good and in line and this ensures they are easy to remove from the roll. I've not had even one bag wasted by tearing it when tearing one off the roll. I buy the 270 pack so they work out at around 4p each when buying the pack at full price (currently £10.99). For me, that's a cost of 84p per week.Note! They are certified 65% recycled plastic now and I'm keen to reduce my plastic waste so this is a big plus for me. I hope this company continues to be environmentally conscious because when companies provide more environmental products it helps consumers make better choices.Pros65% recycled plasticLarge and strongDo not tear easilyLeakproofEasy to tie upEasy to rip a bag off the rollSmells leak less in hot weather otherwise no noticeable smell at all.ConsMore expensive than other bags. Potentially, it's a bag we throw away, so how good do you need your poo bags to be?Costs - for my dog's use4p per bag at full price = costs me around 84p per week1 roll (of 15 bags) lasts approx 5 daysThe whole pack of 270 bags lasts 54 days or approx 2 months.","Reviewed in the United Kingdom on 17 May 2023"
"32","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","K. S. Catlow","I’ve had dogs all through my life and that’s a long while. I’ve used many a brand of Poo bag but the Earth Rated with a slight Lavender aroma are by far the best.They are of a good strong, thick quality. Plenty long enough to be able to tie in a knot and they don’t let any smell out.I’ve carried mine around a park before (full) and not noticed any pong.I love that you get a little sticker when you have 2 bags left on the roll, nothing worse than running out!They are fantastic value for money, I purchase mine on subscription so never run out. I wouldn’t buy anything else now.Definitely the best on the market.","Reviewed in the United Kingdom on 23 February 2024"
"33","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","3.0 out of 5 stars","Verified Purchase","Amanda D","Very happy with the product, excellent value for money and good size, scent and quality. We always go for this product as it's cheaper than anywhere else we've found for the quality.","Reviewed in the United Kingdom on 17 May 2023"
"34","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Tracy Beattie","As a dog owner in the UK, I've been using Earth Rated Dog Poo Bags for quite some time now, and I must say they have become an essential part of our daily walks. These bags serve their purpose perfectly, making it easy and hygienic to clean up after my furry friend.One of the things I really like about these bags is their durability. They are thick and sturdy, so I never have to worry about any unpleasant surprises or leaks. They hold up well even with larger messes, providing a reliable solution for dog waste disposal.Another great feature is the size of the bags. They are large enough to accommodate waste from even the biggest dogs, ensuring I never run out of space. Plus, the easy-to-tear perforations make it convenient to grab a bag and go, saving time during those urgent moments.However, one aspect I wish could be improved is the scent control. While the bags do a decent job of containing the odor, there are times when it's still noticeable. It would be great if the bags had stronger scent-blocking capabilities to ensure complete freshness.All in all, Earth Rated Dog Poo Bags have been a trustworthy and practical choice for me as a dog owner in the UK. They are durable, spacious, and make clean-up a breeze. Although the scent control could be enhanced, it doesn't overshadow the overall effectiveness of these bags. I highly recommend them to fellow dog owners seeking a reliable companion on their walks.","Reviewed in the United Kingdom on 23 December 2023"
"35","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Mrs Mackintosh","Really cannot recommend these highly enough. They are very large and being on a roll save so much time just pulling one as needed instead of scrabbling to extricate one from a pocket full of thin loose black bags. There is no unpleasant smell to them; they are strong, leak proof and, by not closing them completely, will easily accommodate further ‘deposits’ even from a very large dog. (Tip:  if you find the weather turns on a walk unused bags do make amazing waterproof and windproof gauntlets!)","Reviewed in the United Kingdom on 27 February 2024"
"36","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Peter Y","Nice and handy rolls of bags, I keep a roll in the car for when I take the dogs out. Nice size and scented bags.","Reviewed in the United Kingdom on 14 July 2023"
"37","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","4.0 out of 5 stars","Verified Purchase","M I Bubble","I bought thes on a recommendation. They are brilliant - just the right size. They are absolutely value for money and bio-degradable. Will use from now on","Reviewed in the United Kingdom on 4 February 2024"
"38","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Amy","Smell great and disguise the smell of dog pooh. Easy to use.","Reviewed in the United Kingdom on 24 February 2024"
"39","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Ian.S.","Nice sized rolls in a box and does the job but a couple of issues:1. Lavender is a nice smell but doesn’t seem to cover up the smell.2. Sometimes not easy to open with dry fingers.3. First bag ripped when removing sticker - see photo","Reviewed in the United Kingdom on 20 January 2024"
"40","Earth Rated Dog Poo Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","5.0 out of 5 stars","Verified Purchase","Mr N D Barthorpe","Great, sturdy bags. You don’t have to worry about the dreaded splitting bag as you grab a poo. The scent is not overpowering but does a good job of masking the pong.","Reviewed in the United Kingdom on 22 February 2024"
